2020-09-07 19:34:36,897 [AUDIT] Token created by 'jffe@000': tokenId='0f7b1fa8-92bc-41e8-ad9e-72bc7f53ca6b', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1599507876896, refreshable=false
2020-09-07 19:34:36,902 [AUDIT] Token created by 'jffe@000': tokenId='6953e6e5-40be-43b1-afde-f1dd4a05c6db', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1599507876902, refreshable=false
2020-09-07 19:34:36,922 [AUDIT] Token created by 'jffe@000': tokenId='8fb3429f-1409-4841-95b1-6e41ed674ab8', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1599507876922, refreshable=false
2020-09-07 19:35:28,893 [AUDIT] Token created by 'jffe@000': tokenId='4fb08961-c826-4a9e-b8c4-9248dd69b743', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1599507928892, refreshable=false
2020-09-07 19:35:37,244 [AUDIT] Token revoked by 'jffe@000': tokenId='3131b09e-76e9-4c7c-a0ec-0f31ba31e5df', issuer='jffe@000', subject='admin', expiry=1599509076716, refreshable=true
2020-09-07 19:44:20,118 [AUDIT] Token created by 'jffe@000': tokenId='35ac1a0d-98a6-489a-903e-748b27eeb311', issuer='jffe@000', subject='jffe@000', expiry=1599508460117, refreshable=false
2020-09-07 19:44:20,122 [AUDIT] Token created by 'jffe@000': tokenId='732212da-d2b7-4ea4-b626-1c4ae49dc98a', issuer='jffe@000', subject='jffe@000', expiry=1599508460121, refreshable=false
2020-09-07 19:44:20,122 [AUDIT] Token created by 'jffe@000': tokenId='91d3f8dd-b713-4a4b-b4fd-ec88a85a4666', issuer='jffe@000', subject='jffe@000', expiry=1599508460121, refreshable=false
2020-09-07 19:44:20,133 [AUDIT] Token created by 'jffe@000': tokenId='a32ac113-d321-4803-8b41-e081665f998f', issuer='jffe@000', subject='jffe@000', expiry=1599508460132, refreshable=false
2020-09-07 19:52:17,973 [AUDIT] Token created by 'anonymous': tokenId='66ba6d20-e28c-4b1d-ab21-56ed77bc7645', issuer='jfrou@01ehn0ytye0rqs87drt89segp6', subject='jfrou@01ehn0ytye0rqs87drt89segp6', expiry=none, refreshable=false
2020-09-07 19:52:18,217 [AUDIT] Token revoked by 'anonymous': tokenId='ea612a3e-83ed-4778-90d4-cec6b49e7cd7', issuer='jfrou@01ehn0ytye0rqs87drt89segp6', subject='jfrou@01ehn0ytye0rqs87drt89segp6', expiry=none, refreshable=false
2020-09-07 19:52:19,856 [AUDIT] Token created by 'anonymous': tokenId='78cfc3b2-98d5-4039-8336-183e583a493d', issuer='jfmd@01ehn0yvsn2tdvpz2sr48vvaf7', subject='jfmd@01ehn0yvsn2tdvpz2sr48vvaf7', expiry=none, refreshable=false
2020-09-07 19:52:19,885 [AUDIT] Token revoked by 'anonymous': tokenId='ee4f2e9b-ba71-41f0-91a5-23e45261a675', issuer='jfmd@01ehn0yvsn2tdvpz2sr48vvaf7', subject='jfmd@01ehn0yvsn2tdvpz2sr48vvaf7', expiry=none, refreshable=false
2020-09-07 19:52:20,834 [AUDIT] Token created by 'anonymous': tokenId='7473608c-ae52-4d45-9415-6c5615acfe12', issuer='jfrt@01ehn0z6haxb661qtdhq5p0g2p', subject='jfrt@01ehn0z6haxb661qtdhq5p0g2p', expiry=none, refreshable=false
2020-09-07 19:52:20,859 [AUDIT] Token revoked by 'anonymous': tokenId='ba525086-5a7b-4f76-b73a-d5b66515d1a9', issuer='jfrt@01ehn0z6haxb661qtdhq5p0g2p', subject='jfrt@01ehn0z6haxb661qtdhq5p0g2p', expiry=none, refreshable=false
2020-09-07 19:52:23,380 [AUDIT] Token created by 'anonymous': tokenId='c75ad62e-ba33-4666-b45c-413bb276b68a', issuer='jfac@01ehn0yjyt9dfk00sdp58108q1', subject='jfac@01ehn0yjyt9dfk00sdp58108q1', expiry=1599508463353, refreshable=false
